,release_year,runtime,popularity,vote_average,vote_count,avg_user_rating,unique_users,genre_count,keyword_count,cast_count,director_count,metadata_nonempty_count
release_year,1.0,0.11935409984777787,0.1316340358391656,0.025828547663039592,0.10679672229880437,-0.16467184226225254,-0.004104617201527049,0.009189193008387346,-0.011943154006056587,-0.07562035810609029,0.004761948789330664,-0.09096336496787637
runtime,0.11935409984777787,1.0,0.1100385178861577,0.12198724641593235,0.10756483054711781,0.09351471666532167,0.13773625864566066,0.1068087625100571,0.0829807725494097,0.2348153761104181,-0.0001886899065216762,0.09779637997955466
popularity,0.1316340358391656,0.1100385178861577,1.0,0.15373085723270657,0.5599553665398495,-0.0037501166753758294,0.2883099493746776,0.19993789604935985,0.3193517142712398,0.15772409509874835,0.016484593960997836,0.20861625089428357
vote_average,0.025828547663039592,0.12198724641593235,0.15373085723270657,1.0,0.12360464173202024,0.43273620531545925,0.22728312484482083,0.1107733791780098,0.16313181399115972,0.09813645768207664,0.034319629163210325,0.20270663248342513
vote_count,0.10679672229880437,0.10756483054711781,0.5599553665398495,0.12360464173202024,1.0,0.04217375112373752,0.5110301141260618,0.1462372626108202,0.2987347227285341,0.08353691611219702,0.008785922362155222,0.12658125434656228
avg_user_rating,-0.16467184226225254,0.09351471666532167,-0.0037501166753758294,0.43273620531545925,0.04217375112373752,1.0,0.13161177266800042,-0.07017640917526718,0.058319661094703004,-0.08428142433602845,0.006936250105332349,-0.011062393180164175
unique_users,-0.004104617201527049,0.13773625864566066,0.2883099493746776,0.22728312484482083,0.5110301141260618,0.13161177266800042,1.0,0.08775877677582679,0.27760684631406446,0.07290479015587771,-0.002660860107280964,0.11055080339749615
genre_count,0.009189193008387346,0.1068087625100571,0.19993789604935985,0.1107733791780098,0.1462372626108202,-0.07017640917526718,0.08775877677582679,1.0,0.2078094166802075,0.27590495293994705,0.0166144022918365,0.3551435664531236
keyword_count,-0.011943154006056587,0.0829807725494097,0.3193517142712398,0.16313181399115972,0.2987347227285341,0.058319661094703004,0.27760684631406446,0.2078094166802075,1.0,0.18093333671426554,0.012660051131587816,0.43641231213036197
cast_count,-0.07562035810609029,0.2348153761104181,0.15772409509874835,0.09813645768207664,0.08353691611219702,-0.08428142433602845,0.07290479015587771,0.27590495293994705,0.18093333671426554,1.0,0.019219509578635247,0.5085751267954235
director_count,0.004761948789330664,-0.0001886899065216762,0.016484593960997836,0.034319629163210325,0.008785922362155222,0.006936250105332349,-0.002660860107280964,0.0166144022918365,0.012660051131587816,0.019219509578635247,1.0,0.09567566654575453
metadata_nonempty_count,-0.09096336496787637,0.09779637997955466,0.20861625089428357,0.20270663248342513,0.12658125434656228,-0.011062393180164175,0.11055080339749615,0.3551435664531236,0.43641231213036197,0.5085751267954235,0.09567566654575453,1.0
