value,count
Drama,11948
Comedy,8815
Action,4484
Documentary,3402
Horror,2619
Unknown,2384
Crime,1683
Thriller,1663
Adventure,1508
Romance,1191
Animation,1122
Fantasy,703
Science Fiction,646
Mystery,552
Family,524
Music,487
Western,451
TV Movie,389
War,379
History,278
Foreign,118
