title,movie_count,years
The Wall,4,"[1975.0, 1983.0, 2012.0, 2017.0]"
The Tunnel,4,"[1933.0, 1935.0, 2001.0, 2011.0]"
Alice,4,"[1988.0, 1990.0, 2005.0, 2009.0]"
Alone,4,"[1999.0, 2004.0, 2007.0, 2008.0]"
Hush,4,"[1998.0, 2008.0, 2012.0, 2016.0]"
Holiday,4,"[1938.0, 2006.0, 2014.0]"
Home of the Brave,4,"[1949.0, 1986.0, 2004.0, 2006.0]"
Jack and the Beanstalk,4,"[1902.0, 1952.0, 1974.0, 2009.0]"
Honeymoon,4,"[1947.0, 1996.0, 2013.0, 2014.0]"
The River,4,"[1951.0, 1984.0, 1997.0, 2001.0]"
Ghost,4,"[1990.0, 2010.0, 2012.0, 2015.0]"
Gold,4,"[1934.0, 1974.0, 2013.0, 2016.0]"
The Suspect,4,"[1944.0, 1975.0, 2013.0]"
The Substitute,4,"[1961.0, 1993.0, 1996.0, 2007.0]"
Three,4,"[1965.0, 2002.0, 2010.0, 2016.0]"
Happy End,4,"[1967.0, 1999.0, 2011.0, 2016.0]"
Inferno,4,"[1953.0, 1980.0, 1999.0, 2016.0]"
Innocence,4,"[1997.0, 2000.0, 2004.0, 2014.0]"
Inside,4,"[1996.0, 2002.0, 2007.0, 2012.0]"
Earth,4,"[1930.0, 1996.0, 1998.0, 2007.0]"
Trapped,4,"[1949.0, 1982.0, 2002.0, 2016.0]"
A Midsummer Night's Dream,4,"[1935.0, 1968.0, 1999.0, 2016.0]"
No Man's Land,4,"[1978.0, 1987.0, 2001.0, 2013.0]"
Nine Lives,4,"[1957.0, 2002.0, 2005.0, 2016.0]"
The Outsider,4,"[1981.0, 1983.0, 2005.0, 2014.0]"
Aschenputtel,4,"[1955.0, 1989.0, 2010.0, 2011.0]"
Asylum,4,"[1972.0, 1997.0, 2005.0, 2008.0]"
August,4,"[1996.0, 2008.0, 2011.0]"
Death of a Salesman,4,"[1951.0, 1966.0, 1985.0, 2000.0]"
The Lovers,4,"[1958.0, 1994.0, 2015.0, 2017.0]"
The Letter,4,"[1929.0, 1940.0, 1999.0, 2012.0]"
The Mummy,4,"[1932.0, 1959.0, 1999.0, 2017.0]"
Creature,4,"[1985.0, 1998.0, 2011.0, 2014.0]"
Othello,4,"[1951.0, 1965.0, 1981.0, 1995.0]"
Rain,4,"[1929.0, 1932.0, 2001.0, 2008.0]"
Dark Horse,4,"[1992.0, 2005.0, 2011.0, 2015.0]"
Dangerous Liaisons,4,"[1959.0, 1988.0, 2003.0, 2012.0]"
Crush,4,"[1992.0, 2001.0, 2009.0, 2013.0]"
