title,movie_count,years
Mother's Day,3,"[1980.0, 2010.0, 2016.0]"
Mr. Right,3,"[2009.0, 2015.0, 2016.0]"
Much Ado About Nothing,3,"[1993.0, 2012.0, 2016.0]"
Misunderstood,3,"[1966.0, 1984.0, 2014.0]"
Loft,3,"[2005.0, 2008.0, 2010.0]"
Leviathan,3,"[1989.0, 2012.0, 2014.0]"
Michael,3,"[1924.0, 1996.0, 2011.0]"
Milk,3,"[1998.0, 2008.0]"
Mirage,3,"[1965.0, 1995.0, 2004.0]"
Miranda,3,"[1948.0, 1985.0, 2002.0]"
Missing,3,"[1982.0, 2007.0, 2008.0]"
Demons,3,"[1971.0, 1985.0, 2012.0]"
Assassination,3,"[1964.0, 1987.0, 2015.0]"
The Old Man and the Sea,3,"[1958.0, 1990.0, 1999.0]"
The One,3,"[2001.0, 2011.0, 2015.0]"
The Order,3,"[1973.0, 2001.0, 2003.0]"
The Other,3,"[1972.0, 1999.0, 2007.0]"
The Miracle Worker,3,"[1962.0, 1979.0, 2000.0]"
The Reckoning,3,"[1970.0, 2003.0, 2014.0]"
The Prisoner of Zenda,3,"[1937.0, 1952.0, 1979.0]"
Lucky,3,"[2010.0, 2011.0]"
Macabre,3,"[1958.0, 1980.0, 2009.0]"
Anne of Green Gables,3,"[1934.0, 1985.0, 2016.0]"
Annie,3,"[1982.0, 1999.0, 2014.0]"
Another World,3,[2014.0]
The Phantom of the Opera,3,"[1925.0, 1990.0, 2004.0]"
The Pied Piper,3,"[1942.0, 1972.0, 1986.0]"
The Pit and the Pendulum,3,"[1961.0, 1991.0, 2009.0]"
The Spirit of Christmas,3,"[1992.0, 1995.0, 2015.0]"
The Squeeze,3,"[1978.0, 1987.0, 2015.0]"
The Student,3,"[1988.0, 2011.0, 2016.0]"
Always,3,"[1985.0, 1989.0, 2011.0]"
Ambush,3,"[1950.0, 1973.0, 1999.0]"
The Secret,3,"[2000.0, 2006.0, 2007.0]"
Little Women,3,"[1933.0, 1949.0, 1994.0]"
Loaded,3,"[1996.0, 2008.0, 2014.0]"
Into the Woods,3,"[1991.0, 2011.0, 2014.0]"
Intruders,3,"[1992.0, 2011.0, 2016.0]"
Iron Man,3,"[1931.0, 1951.0, 2008.0]"
Impulse,3,"[1954.0, 1984.0, 2008.0]"
In the Blood,3,"[2006.0, 2014.0, 2016.0]"
Lights Out,3,"[2010.0, 2013.0, 2016.0]"
Late Bloomers,3,"[1996.0, 2006.0, 2011.0]"
Dolls,3,"[1987.0, 2002.0, 2007.0]"
Double Trouble,3,"[1967.0, 1984.0, 1992.0]"
King Kong,3,"[1933.0, 1976.0, 2005.0]"
Kidnapped,3,"[1960.0, 1995.0, 2010.0]"
Kiki,3,"[1926.0, 1931.0, 2017.0]"
Jigsaw,3,"[1949.0, 1962.0, 1968.0]"
Julia,3,"[1977.0, 2008.0, 2014.0]"
Julius Caesar,3,"[1953.0, 1979.0, 2002.0]"
Loverboy,3,"[1989.0, 2003.0, 2005.0]"
Jack Frost,3,"[1979.0, 1997.0, 1998.0]"
Jackpot,3,"[2001.0, 2006.0, 2011.0]"
Dracula,3,"[1931.0, 1979.0, 1992.0]"
Dreamland,3,"[2006.0, 2007.0, 2016.0]"
The Secret Garden,3,"[1949.0, 1987.0, 1993.0]"
The Silence,3,"[1963.0, 1998.0, 2010.0]"
The Return,3,"[1980.0, 2003.0, 2006.0]"
The Reunion,3,"[2011.0, 2013.0]"
The Ring,3,"[1927.0, 1996.0, 2002.0]"
The Road,3,"[1982.0, 2009.0, 2011.0]"
The Uninvited,3,"[1944.0, 1996.0, 2009.0]"
The Unknown Soldier,3,"[1955.0, 1985.0, 2006.0]"
The Verdict,3,"[1946.0, 1982.0, 2013.0]"
Alive,3,"[1993.0, 2002.0, 2006.0]"
Dressed to Kill,3,"[1941.0, 1946.0, 1980.0]"
Dust,3,"[2001.0, 2005.0, 2008.0]"
The Wild Party,3,"[1929.0, 1956.0, 1975.0]"
The Wind in the Willows,3,"[1983.0, 1995.0, 1996.0]"
The Witches,3,"[1966.0, 1967.0, 1990.0]"
Adam,3,"[1983.0, 1992.0, 2009.0]"
Head Over Heels,3,"[2001.0, 2010.0, 2012.0]"
Heart of a Dog,3,"[1976.0, 1988.0, 2015.0]"
Heat,3,"[1972.0, 1986.0, 1995.0]"
Happiness,3,"[1935.0, 1998.0, 2014.0]"
Happy New Year,3,"[1973.0, 1987.0, 2014.0]"
Inside Out,3,"[2006.0, 2011.0, 2015.0]"
Eat,3,"[1963.0, 2011.0, 2014.0]"
House,3,"[1977.0, 1986.0, 2008.0]"
Home Sweet Home,3,"[2001.0, 2008.0, 2013.0]"
Honey,3,"[2003.0, 2010.0, 2013.0]"
Junior,3,"[1994.0, 2011.0, 2014.0]"
Jack,3,"[1996.0, 2013.0, 2014.0]"
Grace,3,"[2009.0, 2014.0]"
Graveyard Shift,3,"[1987.0, 1990.0, 2005.0]"
Hell,3,"[2005.0, 2011.0]"
Helter Skelter,3,"[1976.0, 2004.0, 2012.0]"
Hero,3,"[1983.0, 1992.0, 2002.0]"
Hide and Seek,3,"[2005.0, 2013.0, 2014.0]"
Endgame,3,"[2000.0, 2009.0, 2015.0]"
Enigma,3,"[1983.0, 2001.0, 2009.0]"
The Tournament,3,"[1929.0, 2009.0, 2015.0]"
The Trip,3,"[1967.0, 2002.0, 2010.0]"
The Take,3,"[1974.0, 2007.0, 2009.0]"
The Taming of the Shrew,3,"[1929.0, 1967.0, 1980.0]"
Three Days,3,"[1992.0, 2001.0, 2008.0]"
Three Men in a Boat,3,"[1956.0, 1975.0, 1979.0]"
The Wave,3,"[1981.0, 2008.0, 2015.0]"
The Wedding March,3,"[1928.0, 1965.0, 2016.0]"
Fate,3,"[2001.0, 2003.0, 2008.0]"
Tumbledown,3,"[1988.0, 2013.0, 2015.0]"
Twice Upon a Time,3,"[1983.0, 2006.0, 2012.0]"
Tormented,3,"[1960.0, 2009.0, 2011.0]"
Tracks,3,"[1977.0, 2005.0, 2014.0]"
Trance,3,"[1982.0, 2001.0, 2013.0]"
Wonderland,3,"[1997.0, 1999.0, 2003.0]"
Whiplash,3,"[1948.0, 2013.0, 2014.0]"
A Star Is Born,3,"[1937.0, 1954.0, 1976.0]"
8,3,"[2008.0, 2010.0, 2012.0]"
Wind,3,"[1992.0, 1996.0, 2013.0]"
Wolves,3,"[1999.0, 2014.0, 2016.0]"
Wonder Woman,3,"[1974.0, 2009.0, 2017.0]"
Under the Gun,3,"[1951.0, 1995.0, 2016.0]"
Halloween,3,"[1931.0, 1978.0, 2007.0]"
Hansel & Gretel,3,"[2002.0, 2007.0, 2013.0]"
The Club,3,"[1980.0, 1994.0, 2015.0]"
The End,3,"[1978.0, 2004.0, 2012.0]"
The Enforcer,3,"[1951.0, 1976.0, 1995.0]"
The Fall of the House of Usher,3,"[1928.0, 1981.0]"
The Desert Song,3,"[1929.0, 1943.0, 1953.0]"
The Dream Team,3,"[1989.0, 2012.0]"
Black Sheep,3,"[1996.0, 2006.0]"
A Streetcar Named Desire,3,"[1951.0, 1984.0, 1995.0]"
A Tale of Two Cities,3,"[1935.0, 1958.0, 1980.0]"
Absolution,3,"[1978.0, 2015.0]"
Titanic,3,"[1953.0, 1996.0, 1997.0]"
Tom Sawyer,3,"[1973.0, 2000.0, 2011.0]"
Thief,3,"[1971.0, 1981.0, 2006.0]"
Forever,3,"[2006.0, 2014.0, 2015.0]"
Fortress,3,"[1985.0, 1992.0, 2012.0]"
Flashback,3,"[1969.0, 1990.0, 2000.0]"
World Without End,2,"[1956.0, 2012.0]"
Women in Love,2,"[1969.0, 2011.0]"
Without Warning,2,"[1980.0, 1994.0]"
A Girl in Every Port,2,"[1928.0, 1952.0]"
A Good Marriage,2,"[1982.0, 2014.0]"
A Hole in the Head,2,"[1959.0, 1998.0]"
A Kiss Before Dying,2,"[1956.0, 1991.0]"
A Letter to Three Wives,2,"[1949.0, 1985.0]"
A Little Night Music,2,"[1977.0, 2002.0]"
A Little Princess,2,"[1986.0, 1995.0]"
A Long and Happy Life,2,"[1966.0, 2013.0]"
A Madea Christmas,2,"[2011.0, 2013.0]"
A Night to Remember,2,"[1942.0, 1958.0]"
A Nightmare on Elm Street,2,"[1984.0, 2010.0]"
A Perfect Day,2,"[2008.0, 2015.0]"
A Perfect Man,2,"[2013.0, 2015.0]"
A Place in the Sun,2,"[1951.0, 2012.0]"
Western,2,"[1997.0, 2015.0]"
What Price Glory,2,"[1926.0, 1952.0]"
Farewell,2,"[1981.0, 2009.0]"
Father of the Bride,2,"[1950.0, 1991.0]"
Fatherland,2,"[1986.0, 1994.0]"
Fatso,2,"[1980.0, 2008.0]"
Fear in the Night,2,"[1947.0, 1972.0]"
Fearless,2,"[1993.0, 2006.0]"
Feast,2,"[2005.0, 2014.0]"
Feed,2,"[2005.0, 2017.0]"
Female,2,"[1933.0, 2005.0]"
Fever,2,"[1991.0, 1999.0]"
Fever Pitch,2,"[1997.0, 2005.0]"
10 Minutes,2,"[2002.0, 2014.0]"
12 Angry Men,2,"[1957.0, 1997.0]"
12 Chairs,2,"[1971.0, 1976.0]"
2:22,2,"[2008.0, 2017.0]"
3:10 to Yuma,2,"[1957.0, 2007.0]"
Fracture,2,"[2007.0, 2010.0]"
Final Justice,2,"[1985.0, 1988.0]"
Finders Keepers,2,"[2014.0, 2015.0]"
Fire Down Below,2,"[1957.0, 1997.0]"
Fire with Fire,2,"[1986.0, 2012.0]"
Fires on the Plain,2,"[1959.0, 2014.0]"
Firestorm,2,"[1998.0, 2013.0]"
Fireworks,2,"[1947.0, 1997.0]"
First Daughter,2,"[1999.0, 2004.0]"
Fist of the North Star,2,"[1986.0, 1995.0]"
Flash Gordon,2,"[1936.0, 1980.0]"
Flawless,2,"[1999.0, 2007.0]"
Flipper,2,"[1963.0, 1996.0]"
Flowers in the Attic,2,"[1987.0, 2014.0]"
Fantastic Four,2,"[2005.0, 2015.0]"
Far from the Madding Crowd,2,"[1967.0, 2015.0]"
Factory Girl,2,"[2006.0, 2013.0]"
Faithless,2,"[1932.0, 2000.0]"
Fame,2,"[1980.0, 2009.0]"
Family Life,2,[1971.0]
Fanny Hill,2,"[1964.0, 2007.0]"
Fluke,2,"[1995.0, 2008.0]"
Fly Away,2,"[2011.0, 2012.0]"
Fly Me to the Moon,2,"[2008.0, 2012.0]"
Focus,2,"[2001.0, 2015.0]"
Footloose,2,"[1984.0, 2011.0]"
Forget Me Not,2,"[2009.0, 2011.0]"
Forgive Me,2,"[2001.0, 2006.0]"
Forgotten,2,"[2012.0, 2014.0]"
Forsaken,2,"[2015.0, 2016.0]"
Four Sons,2,"[1928.0, 1940.0]"
Foxfire,2,"[1996.0, 2012.0]"
Frankenweenie,2,"[1984.0, 2012.0]"
Frankie and Johnny,2,"[1966.0, 1991.0]"
Free Fall,2,"[2013.0, 2014.0]"
Freeheld,2,"[2007.0, 2015.0]"
Freeway,2,"[1988.0, 1996.0]"
Fresh,2,"[1994.0, 2009.0]"
Friday,2,"[1995.0, 2016.0]"
Friday the 13th,2,"[1980.0, 2009.0]"
Friend,2,"[1988.0, 2015.0]"
Fright Night,2,"[1985.0, 2011.0]"
From the Earth to the Moon,2,"[1958.0, 1998.0]"
Extraction,2,"[2013.0, 2015.0]"
Eye for an Eye,2,"[1966.0, 1996.0]"
Eye in the Sky,2,"[2007.0, 2015.0]"
FC Venus,2,"[2005.0, 2006.0]"
Face to Face,2,"[1967.0, 1976.0]"
Girlhood,2,"[2003.0, 2014.0]"
Girls Town,2,"[1959.0, 1996.0]"
Fugitives,2,"[1986.0, 2000.0]"
Full Speed,2,"[1996.0, 2016.0]"
Fun with Dick and Jane,2,"[1977.0, 2005.0]"
Funny Farm,2,"[1975.0, 1988.0]"
Funny Games,2,"[1997.0, 2007.0]"
Fury,2,"[1936.0, 2014.0]"
Gabriel,2,"[2007.0, 2014.0]"
Gabrielle,2,"[2005.0, 2013.0]"
Gambit,2,"[1966.0, 2012.0]"
Game Over,2,"[2005.0, 2006.0]"
Game of Death,2,"[1978.0, 2010.0]"
Gamer,2,"[2001.0, 2009.0]"
Gangsters,2,"[1977.0, 2002.0]"
Gaslight,2,"[1940.0, 1944.0]"
Graduation,2,"[2007.0, 2016.0]"
Grand Hotel,2,"[1932.0, 2016.0]"
Grandma,2,"[1979.0, 2015.0]"
Grandma's Boy,2,"[1922.0, 2006.0]"
Genocide,2,"[1968.0, 1982.0]"
Geronimo,2,"[1962.0, 2014.0]"
Get Carter,2,"[1971.0, 2000.0]"
Get Out,2,"[2010.0, 2017.0]"
Ghajini,2,"[2005.0, 2008.0]"
Ghost in the Shell,2,"[1995.0, 2017.0]"
Ghostbusters,2,"[1984.0, 2016.0]"
Ghosts,2,"[1997.0, 2005.0]"
Ghoul,2,"[2012.0, 2015.0]"
Giant,2,"[1956.0, 2009.0]"
Gigi,2,"[1949.0, 1958.0]"
Girl,2,"[1998.0, 2002.0]"
Eternal Summer,2,"[2006.0, 2015.0]"
Eureka,2,"[1983.0, 2000.0]"
Eva,2,"[1962.0, 2010.0]"
Everest,2,"[1998.0, 2015.0]"
Evergreen,2,"[1934.0, 2004.0]"
Everything Must Go,2,"[1996.0, 2010.0]"
Evolution,2,"[2001.0, 2015.0]"
Exodus,2,"[1960.0, 2007.0]"
Go West,2,"[1925.0, 1940.0]"
Godspeed,2,"[2009.0, 2016.0]"
Going in Style,2,"[1979.0, 2017.0]"
Going the Distance,2,"[2004.0, 2010.0]"
Gone,2,"[2006.0, 2012.0]"
Good for Nothing,2,"[2011.0, 2014.0]"
"Goodbye, Mr. Chips",2,"[1939.0, 1969.0]"
Gossip,2,[2000.0]
Hawaii,2,"[1966.0, 2013.0]"
Hawking,2,"[2004.0, 2013.0]"
Gravity,2,"[2010.0, 2013.0]"
Grey Gardens,2,"[1975.0, 2009.0]"
Grotesque,2,"[1988.0, 2009.0]"
Guernica,2,"[1950.0, 2016.0]"
Guys and Dolls,2,"[1955.0, 2007.0]"
Gypsy,2,"[1962.0, 1993.0]"
Hacker,2,"[2002.0, 2016.0]"
Hairspray,2,"[1988.0, 2007.0]"
Halloween II,2,"[1981.0, 2009.0]"
Hammer,2,"[1972.0, 2016.0]"
Hansel and Gretel,2,"[1982.0, 1988.0]"
Erotikon,2,"[1920.0, 1929.0]"
Escape by Night,2,"[1937.0, 1960.0]"
Escape to Witch Mountain,2,"[1975.0, 1995.0]"
Heaven Can Wait,2,"[1943.0, 1978.0]"
Heavy Petting,2,"[1989.0, 2007.0]"
Heavyweights,2,"[1995.0, 2007.0]"
Hector,2,"[1987.0, 2015.0]"
Heist,2,"[2001.0, 2015.0]"
Held Up,2,"[1999.0, 2010.0]"
Happily Ever After,2,"[1990.0, 2004.0]"
Happy,2,"[2006.0, 2011.0]"
Happy Days,2,"[1978.0, 2007.0]"
Happy Family,2,"[2006.0, 2010.0]"
Happy Together,2,"[1989.0, 1997.0]"
Harakiri,2,"[1919.0, 1962.0]"
Hard Luck,2,"[1921.0, 2007.0]"
Hard to Be a God,2,"[1989.0, 2013.0]"
Hardcore,2,"[1979.0, 2004.0]"
Harvey,2,"[1950.0, 1996.0]"
Employee of the Month,2,"[2004.0, 2006.0]"
Enchanted April,2,"[1935.0, 1991.0]"
Enchantment,2,"[1921.0, 1948.0]"
End of the Line,2,"[1987.0, 2007.0]"
End of the World,2,"[1977.0, 2013.0]"
Endangered Species,2,"[1982.0, 2003.0]"
Endless Love,2,"[1981.0, 2014.0]"
Envy,2,"[2004.0, 2009.0]"
Equinox,2,"[1970.0, 1992.0]"
Erased,2,"[2012.0, 2016.0]"
Headshot,2,"[2011.0, 2016.0]"
Heartbreak Hotel,2,"[1988.0, 2006.0]"
Heartbreakers,2,"[1984.0, 2001.0]"
Hearts and Minds,2,"[1974.0, 1995.0]"
Heat Wave,2,"[1990.0, 2011.0]"
Heaven,2,"[1999.0, 2002.0]"
Hostage,2,[2005.0]
Hot Pursuit,2,"[1987.0, 2015.0]"
Helen,2,"[2008.0, 2009.0]"
Hellgate,2,"[1989.0, 2011.0]"
Henry V,2,"[1944.0, 1989.0]"
Hidden,2,"[2009.0, 2015.0]"
Hidden Agenda,2,"[1990.0, 2001.0]"
Hidden Away,2,"[2013.0, 2014.0]"
High Noon,2,"[1952.0, 2009.0]"
High Risk,2,"[1981.0, 1995.0]"
High School,2,"[1968.0, 2010.0]"
High Society,2,"[1955.0, 1956.0]"
High Strung,2,"[1991.0, 2016.0]"
Embassy,2,"[1972.0, 2013.0]"
Embrace of the Vampire,2,"[1995.0, 2013.0]"
Empire,2,"[1964.0, 2002.0]"
House on Haunted Hill,2,"[1959.0, 1999.0]"
Housekeeping,2,"[1987.0, 2015.0]"
How to Make a Monster,2,"[1958.0, 2001.0]"
Howl,2,"[2010.0, 2015.0]"
Human,2,"[2013.0, 2015.0]"
Hurricane,2,"[1974.0, 1979.0]"
Hush!,2,"[2001.0, 2003.0]"
Hyenas,2,"[1992.0, 2010.0]"
I Accuse,2,"[1938.0, 2003.0]"
Hiroshima,2,"[2005.0, 2009.0]"
Holy Matrimony,2,"[1943.0, 1994.0]"
Home Movie,2,"[2001.0, 2008.0]"
Home for the Holidays,2,"[1974.0, 1995.0]"
Homecoming,2,"[2009.0, 2015.0]"
Hope Springs,2,"[2003.0, 2012.0]"
Horton Hears a Who!,2,"[1970.0, 2008.0]"
I Love You Too,2,"[2001.0, 2010.0]"
I Remember You,2,"[1986.0, 2015.0]"
I Spit on Your Grave,2,"[1978.0, 2010.0]"
I Want You,2,"[1998.0, 2012.0]"
I'll Sleep When I'm Dead,2,"[2003.0, 2016.0]"
I'm Staying,2,"[2003.0, 2007.0]"
Ice Castles,2,"[1978.0, 2010.0]"
Iceman,2,"[1984.0, 2014.0]"
If I Were You,2,"[2006.0, 2013.0]"
Illegal,2,"[1955.0, 2010.0]"
Imitation of Life,2,"[1934.0, 1959.0]"
Impact,2,"[1949.0, 2009.0]"
Houdini,2,"[1953.0, 2014.0]"
House of Cards,2,"[1968.0, 1993.0]"
House of Usher,2,"[1960.0, 2008.0]"
House of Wax,2,"[1953.0, 2005.0]"
Earth vs. the Spider,2,"[1958.0, 2001.0]"
Easy Living,2,"[1937.0, 1949.0]"
Easy Money,2,"[1983.0, 2010.0]"
Easy Virtue,2,"[1928.0, 2008.0]"
Edge of Darkness,2,"[1943.0, 2010.0]"
El Dorado,2,"[1966.0, 1988.0]"
El Greco,2,"[1966.0, 2007.0]"
Election,2,"[1999.0, 2005.0]"
Elegy,2,"[2008.0, 2014.0]"
Elena,2,"[2011.0, 2013.0]"
Elephant,2,"[1989.0, 2003.0]"
Elevator,2,"[2008.0, 2011.0]"
I Am,2,"[2005.0, 2011.0]"
I Am the Law,2,"[1938.0, 1977.0]"
I Do,2,"[2006.0, 2013.0]"
I Love Trouble,2,"[1948.0, 1994.0]"
Isolation,2,"[2005.0, 2015.0]"
It Takes Two,2,"[1988.0, 1995.0]"
It's Alive,2,"[1974.0, 2008.0]"
It's Such a Beautiful Day,2,"[2011.0, 2012.0]"
Ivanhoe,2,"[1952.0, 1982.0]"
In Cold Blood,2,"[1967.0, 1996.0]"
In Your Hands,2,"[2004.0, 2010.0]"
Incubus,2,"[1966.0, 2006.0]"
Indian Summer,2,"[1972.0, 1993.0]"
Inherit the Wind,2,"[1960.0, 1999.0]"
Inseparable,2,"[2011.0, 2013.0]"
Insomnia,2,"[1997.0, 2002.0]"
Interrogation,2,"[1989.0, 2016.0]"
Into the Storm,2,"[2009.0, 2014.0]"
Into the Sun,2,"[1992.0, 2005.0]"
Déjà Vu,2,"[1998.0, 2006.0]"
Dreamcatcher,2,"[2003.0, 2015.0]"
Dreams,2,"[1955.0, 1990.0]"
Drifters,2,"[2011.0, 2015.0]"
Drishyam,2,"[2013.0, 2015.0]"
Drive,2,"[1997.0, 2011.0]"
Driving Me Crazy,2,"[1988.0, 1991.0]"
Drone,2,"[2014.0, 2017.0]"
Dunkirk,2,"[1958.0, 2017.0]"
Into the West,2,"[1992.0, 2005.0]"
Intruder,2,"[1989.0, 2016.0]"
Invaders from Mars,2,"[1953.0, 1986.0]"
Invasion,2,"[1969.0, 1997.0]"
Invasion of the Body Snatchers,2,"[1956.0, 1978.0]"
Invincible,2,"[2001.0, 2006.0]"
Iris,2,"[2001.0, 2014.0]"
Island of Lost Souls,2,"[1932.0, 2007.0]"
Jump,2,"[1965.0, 2012.0]"
Just My Luck,2,"[1957.0, 2006.0]"
Jack the Giant Killer,2,"[1962.0, 2013.0]"
Jack the Ripper,2,"[1976.0, 1988.0]"
Jail Bait,2,"[1954.0, 1973.0]"
Jailbait,2,"[2004.0, 2014.0]"
Jason and the Argonauts,2,"[1963.0, 2001.0]"
Jealousy,2,"[1953.0, 2013.0]"
Jeremy,2,"[1973.0, 2016.0]"
Jersey Girl,2,"[1992.0, 2004.0]"
Jerusalem,2,"[1996.0, 2013.0]"
Jesus,2,"[1979.0, 1999.0]"
Jesus Christ Superstar,2,"[1973.0, 2000.0]"
Dragonfly,2,"[1976.0, 2002.0]"
Dragonslayer,2,"[1981.0, 2011.0]"
Dream,2,"[1941.0, 2008.0]"
Kill 'em All,2,"[2012.0, 2017.0]"
Kill Switch,2,"[2008.0, 2017.0]"
Kill Your Darlings,2,"[2006.0, 2013.0]"
Killer,2,"[1994.0, 1998.0]"
Killer Cop,2,"[1975.0, 2002.0]"
Killers,2,"[2010.0, 2014.0]"
Killjoy,2,"[1981.0, 2000.0]"
Joan of Arc,2,"[1948.0, 1999.0]"
Joanna,2,"[2010.0, 2013.0]"
Joe,2,"[1970.0, 2014.0]"
Joshua,2,"[2002.0, 2007.0]"
Journey Into Fear,2,"[1943.0, 1975.0]"
Joy,2,"[2010.0, 2015.0]"
Judas Kiss,2,"[1998.0, 2011.0]"
Judex,2,"[1916.0, 1963.0]"
Juha,2,"[1937.0, 1999.0]"
Kiss Me Again,2,"[2006.0, 2010.0]"
Kiss Me Goodbye,2,"[1982.0, 1986.0]"
Kiss of Death,2,"[1947.0, 1995.0]"
Kisses,2,"[1957.0, 2008.0]"
Kite,2,"[1998.0, 2014.0]"
Knock Knock,2,"[2008.0, 2015.0]"
Knockout,2,"[2000.0, 2011.0]"
Kon-Tiki,2,"[1950.0, 2012.0]"
LOL,2,"[2006.0, 2012.0]"
Kamikaze,2,"[1986.0, 2014.0]"
Kandahar,2,"[2001.0, 2010.0]"
Karlsson on the Roof,2,"[1974.0, 2002.0]"
Kick,2,"[2009.0, 2014.0]"
Kid Galahad,2,"[1937.0, 1962.0]"
"Kidnapping, Caucasian Style",2,"[1967.0, 2014.0]"
Kiki's Delivery Service,2,"[1989.0, 2014.0]"
Dogs,2,"[1976.0, 2016.0]"
Don Juan,2,"[1926.0, 1998.0]"
Don't Be Afraid of the Dark,2,"[1973.0, 2010.0]"
Don't Drink the Water,2,"[1969.0, 1994.0]"
Don't Hang Up,2,"[1975.0, 2016.0]"
Don't Look Up,2,"[1996.0, 2009.0]"
Doppelganger,2,"[1993.0, 2003.0]"
Dorian Gray,2,"[1970.0, 2009.0]"
Double Indemnity,2,"[1944.0, 1973.0]"
Double Take,2,"[2001.0, 2009.0]"
Double Wedding,2,"[1937.0, 2010.0]"
Downhill,2,"[1927.0, 2014.0]"
Kind Lady,2,"[1935.0, 1951.0]"
King Cobra,2,"[1999.0, 2016.0]"
Kingdom Come,2,"[2011.0, 2014.0]"
Kismet,2,"[1944.0, 1955.0]"
Little Dorrit,2,"[1987.0, 2008.0]"
Lady Killer,2,"[1933.0, 1937.0]"
Lady in White,2,"[1962.0, 1988.0]"
Lamerica,2,"[1994.0, 2015.0]"
Landscape,2,"[2000.0, 2003.0]"
Lassie,2,"[1994.0, 2005.0]"
Last Holiday,2,"[1950.0, 2006.0]"
Last Man Standing,2,"[1996.0, 2011.0]"
Last Night,2,"[1998.0, 2010.0]"
Last Resort,2,"[1986.0, 2000.0]"
Last Summer,2,"[1969.0, 2013.0]"
Late Autumn,2,"[1960.0, 2010.0]"
Law and Order,2,"[1953.0, 1969.0]"
Leap Year,2,[2010.0]
Left Behind,2,"[2000.0, 2014.0]"
Dog Tags,2,"[1987.0, 2008.0]"
Lizzie,2,"[1957.0, 2013.0]"
Local Color,2,"[1977.0, 2006.0]"
Logan,2,"[2010.0, 2017.0]"
Lolita,2,"[1962.0, 1997.0]"
London,2,"[1994.0, 2005.0]"
London After Midnight,2,"[1927.0, 2002.0]"
Legend,2,"[1985.0, 2015.0]"
Legion,2,"[1998.0, 2010.0]"
Lemonade,2,"[2015.0, 2016.0]"
Les Miserables,2,"[1952.0, 1995.0]"
Lifted,2,"[2006.0, 2010.0]"
Like Crazy,2,"[2011.0, 2016.0]"
"Like Father, Like Son",2,"[1965.0, 2013.0]"
Liliom,2,"[1930.0, 1934.0]"
Limelight,2,"[1952.0, 2011.0]"
Lionheart,2,"[1987.0, 1990.0]"
Lost Horizon,2,"[1937.0, 1973.0]"
Love Affair,2,"[1939.0, 1994.0]"
Love Exposure,2,"[2007.0, 2008.0]"
Love Hotel,2,"[1985.0, 2014.0]"
Love Hurts,2,"[2002.0, 2009.0]"
Love Is in the Air,2,"[2011.0, 2013.0]"
Love Stories,2,"[2000.0, 2016.0]"
Love and Honor,2,"[2006.0, 2013.0]"
Love in the Afternoon,2,"[1957.0, 1972.0]"
Love on the Run,2,"[1936.0, 1979.0]"
Little Lord Fauntleroy,2,"[1936.0, 1980.0]"
Little Man,2,[2006.0]
Little Men,2,"[1998.0, 2016.0]"
Little Miss Marker,2,"[1934.0, 1980.0]"
Little Monsters,2,"[1989.0, 2012.0]"
Little Sister,2,"[1992.0, 2016.0]"
Dirty Dancing,2,"[1987.0, 2017.0]"
Dirty Deeds,2,"[2002.0, 2005.0]"
Dirty Hands,2,"[1975.0, 1989.0]"
Dirty Weekend,2,"[1973.0, 2015.0]"
Disorder,2,"[2009.0, 2015.0]"
Distant Thunder,2,"[1973.0, 1988.0]"
Django,2,"[1966.0, 2017.0]"
Doctor Dolittle,2,"[1967.0, 1998.0]"
Doctor Strange,2,"[2007.0, 2016.0]"
Dog,2,"[2001.0, 2015.0]"
Dog Eat Dog,2,"[2009.0, 2016.0]"
Long Day's Journey Into Night,2,"[1962.0, 1987.0]"
Long Weekend,2,"[1978.0, 2009.0]"
Loose Cannons,2,"[1990.0, 2010.0]"
Lord of the Flies,2,"[1963.0, 1990.0]"
Lost & Found,2,"[1999.0, 2016.0]"
Man on Fire,2,"[1987.0, 2004.0]"
Manhunt,2,"[1976.0, 2008.0]"
Lovesick,2,"[1983.0, 2014.0]"
Loving,2,"[1970.0, 2016.0]"
Lucky Luke,2,"[1991.0, 2009.0]"
Lucy,2,"[2003.0, 2014.0]"
Lullaby,2,"[2014.0, 2015.0]"
Lust for Gold,2,"[1949.0, 1974.0]"
Luther,2,"[1974.0, 2003.0]"
M,2,"[1931.0, 1951.0]"
Madagascar,2,"[2005.0, 2011.0]"
Mademoiselle,2,"[1966.0, 2001.0]"
Diary of a Chambermaid,2,"[1964.0, 2015.0]"
Diggers,2,"[2006.0, 2016.0]"
Dillinger,2,"[1945.0, 1973.0]"
Dinosaur Island,2,"[1994.0, 2014.0]"
Masterminds,2,"[1997.0, 2016.0]"
Mata Hari,2,"[1931.0, 1985.0]"
Match,2,"[2012.0, 2014.0]"
Matilda,2,"[1978.0, 1996.0]"
Magicians,2,"[1982.0, 2007.0]"
Magnificent Obsession,2,"[1935.0, 1954.0]"
Magnus,2,"[2007.0, 2016.0]"
Mail Order Bride,2,"[1964.0, 2003.0]"
Main Street,2,"[1956.0, 2010.0]"
Malcolm X,2,"[1972.0, 1992.0]"
Malicious,2,"[1973.0, 1995.0]"
Mama,2,"[1976.0, 2013.0]"
Mammoth,2,"[2006.0, 2009.0]"
