release_year,movie_count,mean_user_rating,mean_unique_users,mean_popularity,mean_vote_average
1874.0,1,,,0.480371,6.0
1878.0,1,,,0.327841,6.2
1883.0,1,,,0.229221,5.4
1887.0,1,,,1.184891,4.1
1888.0,2,,,0.8515940000000001,5.15
1890.0,5,,,0.45158940000000003,4.74
1891.0,6,,,0.48166033333333336,4.233333333333333
1892.0,3,,,0.37568666666666667,3.4666666666666663
1893.0,1,,,1.061591,5.8
1894.0,13,,,0.46623276923076923,5.292307692307692
1895.0,7,,,1.1081447142857141,5.857142857142857
1896.0,14,,,0.8845652142857142,5.55
1897.0,8,,,0.36301825,5.275
1898.0,13,,,0.36871953846153843,5.653846153846154
1899.0,5,,,0.5248106,5.92
1900.0,14,,,0.21253592857142856,4.128571428571428
1901.0,10,,,0.38808119999999996,5.13
1902.0,2,4.33,6.0,3.263575,6.9
1903.0,18,,,0.6321897222222223,5.472222222222222
1904.0,8,,,0.32400675,4.325
1905.0,5,,,0.2966218,6.08
1906.0,7,,,0.34891228571428573,5.871428571428572
1907.0,7,,,0.26253185714285715,6.028571428571429
1908.0,6,,,0.48809949999999996,6.283333333333334
1909.0,10,,,0.43935519999999995,5.71
1910.0,7,,,0.5092054285714286,6.371428571428572
1911.0,6,,,0.33276316666666667,5.116666666666666
1912.0,14,,,0.32922642857142864,4.742857142857143
1913.0,13,,,0.447702,5.0307692307692315
1914.0,19,,,0.529466,5.88421052631579
1915.0,29,3.0,2.0,0.7611408275862069,5.2620689655172415
1916.0,32,3.5,1.0,0.8290485,5.2625
1917.0,17,4.25,2.0,0.8778485882352942,4.764705882352941
1918.0,16,4.25,2.0,0.474988125,5.8875
1919.0,23,3.0,1.0,0.5702967391304348,6.147826086956522
1920.0,29,2.5,5.0,0.7953135172413792,6.0344827586206895
1921.0,33,4.388,2.4,0.9494981515151516,5.981818181818182
1922.0,34,3.926666666666667,4.666666666666667,0.9960122647058824,5.270588235294118
1923.0,23,4.166666666666667,1.0,1.0210513913043477,6.5260869565217385
1924.0,39,4.36,2.0,1.0708503333333332,6.610256410256411
1925.0,40,3.92875,5.0,1.34652665,5.782500000000001
1926.0,50,3.7083333333333335,3.3333333333333335,0.7126079799999999,6.02
1927.0,41,3.90375,4.75,1.4951715853658538,5.348780487804878
1928.0,66,4.294,4.2,1.1680078636363638,6.301515151515151
1929.0,76,3.2399999999999998,2.5714285714285716,0.6527675131578947,5.25921052631579
1930.0,81,3.718,6.2,0.9375043703703704,4.103703703703704
1931.0,99,3.799285714285714,7.0,1.2757347373737373,4.912121212121212
1932.0,135,3.303846153846154,3.3846153846153846,1.1832034222222223,4.802962962962963
1933.0,147,4.075384615384616,5.6923076923076925,0.9765668367346939,4.840136054421769
1934.0,141,3.3276923076923075,5.384615384615385,1.050709120567376,4.679432624113475
1935.0,144,3.6158333333333332,6.5,1.098936875,4.925000000000001
1936.0,152,3.4283333333333332,3.6666666666666665,1.125963519736842,5.502631578947368
1937.0,155,3.7526315789473683,6.578947368421052,0.9909852645161289,5.272258064516129
1938.0,127,3.5930769230769233,7.615384615384615,1.0779504173228345,5.196850393700787
1939.0,134,3.748076923076923,11.076923076923077,1.9261665597014925,5.606716417910447
