,count,mean,std,min,25%,50%,75%,max
genre_count,45346.0,2.0058439553654126,1.1292622555691327,0.0,1.0,2.0,3.0,8.0
keyword_count,45346.0,3.4979711551184227,4.768557457088244,0.0,0.0,2.0,5.0,149.0
cast_count,45346.0,4.459775944956556,1.3436457361343488,0.0,5.0,5.0,5.0,5.0
director_count,45346.0,1.0807127420279627,0.6295651029554922,0.0,1.0,1.0,1.0,42.0
writer_count,45346.0,1.5151501786265602,1.2362026431413948,0.0,1.0,1.0,2.0,20.0
unique_users,9025.0,11.059279778393352,24.09543324100334,1.0,1.0,3.0,9.0,341.0
raw_rating_count,9025.0,11.059279778393352,24.09543324100334,1.0,1.0,3.0,9.0,341.0
