value,count
woman director,3112
independent film,1930
murder,1307
based on novel,831
musical,733
sex,685
violence,651
nudity,636
biography,629
revenge,626
suspense,590
love,574
female nudity,563
sport,544
police,454
teenager,441
duringcreditsstinger,440
sequel,439
friendship,411
world war ii,394
drug,360
prison,351
stand-up comedy,351
high school,319
martial arts,314
suicide,312
rape,306
kidnapping,306
silent film,306
film noir,305
